gene,species,replicate,exprval
4,5349,R1,0
4,5351,R1,0
4,5353,R1,4
4,5356,R1,5
4,5357,R1,2
4,5364,R1,11
4,5365,R1,1
4,5366,R1,1
4,5371,R1,2
4,5375,R1,1
4,5378,R1,5
4,5383,R1,2
4,5385,R1,1
4,5391,R1,0
4,5400,R1,0
4,5401,R1,8
4,5402,R1,14
4,5404,R1,6
4,5405,R1,7
4,5407,R1,0
4,5421,R1,8
4,5426,R1,4
4,5436,R1,9
4,5438,R1,6
4,5443,R1,6
4,5447,R1,6
4,5449,R1,6
4,5450,R1,8
4,5461,R1,8
4,5462,R1,5
4,5464,R1,3
4,5465,R1,5
4,5470,R1,9
4,5475,R1,2
4,5479,R1,4
4,5483,R1,7
4,5484,R1,3
4,5485,R1,3
4,5487,R1,9
4,5490,R1,4
4,5491,R1,1
4,5495,R1,9
4,5499,R1,7
4,5510,R1,8
4,5515,R1,5
4,5517,R1,4
4,5518,R1,4
4,5522,R1,14
4,5523,R1,5
4,5525,R1,3
4,5527,R1,9
4,5528,R1,11
4,5529,R1,6
4,5531,R1,9
4,5533,R1,2
4,5538,R1,4
4,5540,R1,4
5,4895,R1,8
5,4903,R1,0
5,4905,R1,2
5,4909,R1,3
5,4910,R1,1
5,4915,R1,1
5,4916,R1,0
5,4918,R1,0
5,4919,R1,2
5,4921,R1,11
5,4929,R1,1
5,4930,R1,2
5,4934,R1,5
5,4942,R1,0
5,4945,R1,14
5,4951,R1,5
5,4956,R1,0
5,4959,R1,0
5,4966,R1,1
5,4967,R1,0
5,4972,R1,3
5,4977,R1,0
5,4979,R1,5
5,4981,R1,0
5,4983,R1,7
5,4984,R1,5
5,4990,R1,5
5,4991,R1,10
5,4995,R1,0
5,4996,R1,0
5,4997,R1,6
5,5000,R1,7
5,5002,R1,14
5,5011,R1,4
5,5014,R1,0
5,5017,R1,0
5,5019,R1,0
5,5020,R1,0
5,5022,R1,1
5,5025,R1,10
5,5026,R1,9
5,5027,R1,0
5,5033,R1,3
5,5040,R1,5
5,5043,R1,9
5,5044,R1,6
5,5047,R1,10
5,5051,R1,7
5,5052,R1,3
5,5069,R1,3
5,5070,R1,0
5,5076,R1,4
5,5080,R1,3
5,5084,R1,1
5,5087,R1,2
5,5088,R1,7
5,5089,R1,0
5,5092,R1,0
5,5095,R1,0
5,5096,R1,0
5,5097,R1,3
5,5099,R1,5
5,5100,R1,6
5,5103,R1,1
5,5106,R1,0
5,5107,R1,0
5,5108,R1,0
