node_name	is_leaf	infer_mu	infer_var
c5195	True	1.8614918151275226	1.280184708963674
c4606	False	2.676630977499273	8.330960828282523
c4909	True	2.754092706986497	0.7685091251856883
c4910	True	3.0305618622190793	0.6918453745275328
c324	False	1.220948054234635	47.63556111407227
c951	False	0.7933302346964923	39.76835697441862
c1171	False	0.8996132757927993	34.462231008272525
c1415	False	1.3183056352815978	32.905489802049765
c1697	False	1.4197530300891357	35.70311039988859
c4940	True	3.893084821615254	1.747355156973631
c5311	True	-0.3434469977842179	3.1520907090095514
c3374	False	2.904530458687902	25.406947172630762
c5041	True	3.3777318450938187	1.5750795278048553
c5308	True	3.3830639663257687	1.5508973518704021
c3355	False	-0.9748426345621519	26.228256325488523
c4956	True	-1.4469541928718712	2.216293012893858
c5174	True	-1.4399590314299084	2.2486533289551907
c5078	True	-1.1247358153428624	3.8564252458268213
c1343	False	2.030578229676065	43.88859472569932
c3413	False	1.9764318529930762	17.50383227274259
c3735	False	1.9899765936793363	14.67480280116884
c5072	True	1.6629215666176103	1.3118457625453355
c5274	True	2.3441211021135833	1.0759238302596454
c3736	False	1.9520578369702184	13.143361574994644
c5118	True	2.580230515448797	0.9986455736743346
c4356	False	1.613597481708071	8.404077899644816
c5233	True	1.682734426417717	0.7439648533160288
c5234	True	1.2060001817362773	0.8952927570474208
c2310	False	2.410050416589328	33.81922326860228
c3900	False	1.6584646623193577	17.641888437031596
c5401	True	1.4052299442441436	1.3793190678032319
c5169	True	1.4106422108812582	1.3713274164823437
c5053	True	4.295146985228049	1.7035510950417574
c212	False	0.5379670247894854	60.898298882364266
c1483	False	-0.6974846641203942	40.28163101440863
c3122	False	-1.6318984554685214	25.638492843571463
c5026	True	-1.9825720378546274	2.3035955938287542
c5376	True	-1.98203521659351	2.297338478068789
c1982	False	-0.5874263851743504	37.99095048324561
c5232	True	1.0126269516794644	1.6745187661215066
c5316	True	-1.5271300483519024	3.215702143355223
c2747	False	-0.8825902364442102	34.25223898854298
c5396	True	-1.497540937083531	2.7407016605605383
c4381	False	-0.7491981174032648	9.672106683709051
c5313	True	-0.5226180598366396	0.8168893762398881
c5314	True	-0.9313141352895747	0.959525645228513
c56	False	1.9080943299695168	37.06230828453077
c137	False	1.9461187595215685	45.68336712227595
c2221	False	1.3359598951814915	39.72422715852843
c3575	False	0.9307205323079305	18.019481448598484
c4911	True	1.290817347636202	1.104074072931607
c5040	True	0.30046414173061814	1.5918650490022423
c5189	True	1.793444953182637	1.8132267945453997
c166	False	1.9992076429338728	43.23441934861183
c244	False	2.254043594587979	52.05945836209225
c852	False	2.994036781136952	43.871482753217556
c1722	False	2.723662663473143	26.70865880576707
c1885	False	2.834849586987312	24.065743168645298
c2329	False	2.4287676164749405	22.279030243427904
c3267	False	2.1120683266142004	17.75345540593526
c5009	True	2.542591581410406	1.31758732122593
c3590	False	1.8102109300850946	13.220401620547483
c5321	True	1.5145270815455865	1.2638166049606028
c4472	False	1.6561954578257436	8.401874343530052
c4983	True	1.244231873534489	0.8925136752344431
c4984	True	1.9141435698576468	0.6787002195898142
c3636	False	1.6855706397289414	13.059316989194706
c4571	False	1.9164924629165652	8.367690542746415
