ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta_pro	h0_theta_diff	h1_r	h1_alpha	h1_sigma	h1_theta_pro	h1_theta_da	h1_theta_glu	h0	h1	lrt	p	q	signif
6	Ubb	40.6189	7.709137	84.08895	50.9702262878418	60.7618522644043	146.78325	12.112521	104.09812	48.14233016967773	54.864166259765625	69.9968032836914	-32555.162	-32563.783	17.242188	0.053973013493253376	0.08030131275825503	False
14	Actb	15.423753	15.76731	180.0268	70.34577178955078	80.66761779785156	11.494813	5.7465124	79.117195	71.04010772705078	65.09700775146484	104.78858184814452	-46114.14	-46136.984	45.6875	0.06496751624187906	0.0943575831132053	False
15	Tmsb10	15.181919	20.715265	407.36716	82.09970092773438	191.522705078125	20.778269	25.751625	364.4628	76.25343322753906	196.2373046875	173.8511505126953	-115753.71	-115797.14	86.859375	0.0734632683658171	0.10421533419336844	False
56	Cox6c	299.48575	5.7886	9.969483	15.998794555664062	15.93635082244873	1096.6332	10.080678	12.687435	16.1695556640625	16.528057098388672	14.77499294281006	-4944.5723	-4946.4463	3.7480469	0.08395802098950525	0.116396347280905	False
3	Tuba1a	12.3916025	53.2592	1088.562	68.55431365966797	170.7449188232422	14.547925	5.745433	310.66077	76.6138687133789	148.24652099609375	255.616455078125	-102143.84	-102184.57	81.453125	0.09095452273863068	0.12329390860125491	False
2	Sox4	3.2730565	13.799009	13.260316	4.280771255493164	12.84376621246338	3.4674678	16.115915	15.542807	4.343374729156494	13.790911674499512	11.365952491760254	-3136.513	-3139.137	5.248047	0.10044977511244378	0.13320513656215371	False
22	Eef1a1	129.23524	10.14754	74.56151	52.72003555297852	57.41628646850586	188.25137	10.698376	75.24685	52.48091125488281	60.1718864440918	51.91524887084961	-30398.043	-30402.676	9.265625	0.11094452773613193	0.1439918338702989	False
43	Basp1	833.6617	26.593348	71.38957	31.20005989074707	56.59227752685547	1096.6332	25.41765	67.303246	31.110349655151367	54.53484725952149	60.50139236450195	-28681.398	-28684.508	6.21875	0.13793103448275862	0.1752873563218391	False
55	Jpt1	492.90076	30.615694	41.99432	11.850943565368652	33.14058303833008	1096.6332	29.532192	41.45666	11.88486099243164	32.49587631225586	34.28263473510742	-13384.612	-13386.201	3.1777344	0.23788105947026486	0.29613764546298277	False
4	Tubb2b	15.800216	17.25504	267.6739	56.69548416137695	105.44611358642578	20.756498	15.551678	217.4705	53.873146057128906	90.79322814941406	120.97991180419922	-59159.19	-59178.234	38.085938	0.28785607196401797	0.35118440779610194	False
13	Stmn1	22.176863	24.38234	319.9523	56.08810043334961	169.6892547607422	25.855946	24.629652	299.75473	54.74853515625	166.05535888671875	171.42135620117188	-101747.58	-101777.555	59.953125	0.33833083458270863	0.40467021391265146	False
9	Rtn1	56.308643	24.03533	105.77063	26.055809020996094	66.431884765625	106.4556	20.660448	99.21111	26.61373519897461	62.95794677734375	71.96977996826172	-34277.42	-34279.797	4.75	0.39030484757621187	0.45785760965671013	False
18	Stmn3	295.78543	21.132124	47.76896	9.654803276062012	32.650299072265625	882.4734	20.354502	47.622284	9.688706398010254	32.245174407958984	33.412254333496094	-13204.36	-13205.303	1.8847656	0.4197901049475262	0.48315464909054906	False
24	mt-Atp6	15.316121	8.021855	166.62708	109.50105285644533	126.2878875732422	22.206879	8.611129	134.51108	101.82571411132812	124.94383239746094	115.28465270996094	-73048.1	-73064.62	33.03125	0.4662668665667166	0.526708867788328	False
17	Nnat	17.111444	8.378238	214.45807	48.886962890625	108.79095458984376	24.487675	8.416182	196.87779	47.69197082519531	111.76171875	91.58431243896484	-58707.664	-58718.53	21.734375	0.5222388805597201	0.5732223174127222	False
25	Tmsb4x	17.316511	11.597844	224.09747	228.1241607666016	128.5252227783203	19.449936	12.910829	216.91447	231.06283569335935	131.91030883789062	120.10748291015624	-90786.54	-90803.11	33.140625	0.5262368815592204	0.5732223174127222	False
