gene_index	gene	corr_pseudotime_glu	corr_pseudotime_da	corr_da_minus_glu	lavous_p	lavous_q	lavous_signif	lavous_lrt
393	Flacc1						False	
394	Cflar	-0.3661509779611628	-0.21987732678420996	0.14627365117695285			False	
395	Casp8	-0.10151929336535197	-0.09351791442844261	0.008001378936909359			False	
396	Trak2	0.044236511093087995	0.02826596734958384	-0.015970543743504154			False	
397	Stradb	0.076026757090324	0.05908428671945701	-0.01694247037086699			False	
398	C2cd6		-0.02195358620597076				False	
399	AC169382.1						False	
400	Gm29018						False	
401	Tmem237	-0.19778524051830138	-0.21280864597768584	-0.015023405459384465			False	
402	G730003C15Rik	-0.2010079800386754	-0.1430410646731176	0.057966915365557786			False	
403	Mpp4	0.02350303712300381	-0.002865415744453445	-0.026368452867457256			False	
404	Gm29017						False	
405	Als2	-0.016597715168725716	-0.01679462215809518	-0.000196906989369465			False	
406	Cdk15	0.04767093089198141	0.024849963738476574	-0.02282096715350484			False	
407	Gm29016						False	
408	Fzd7	-0.07953377084274853	-0.11822579774071629	-0.03869202689796776			False	
409	Gm26813						False	
410	Gm973	-0.4214919751455723	-0.3620776653375107	0.059414309808061616			False	
411	Gm28411						False	
412	1700122D07Rik						False	
413	Sumo1	-0.1150109150900046	-0.13186675286167562	-0.016855837771671017			False	
414	Nop58	0.22770385695601597	0.08725645104204977	-0.1404474059139662			False	
415	Bmpr2	-0.0713896562274884	0.02127796481177983	0.09266762103926823			False	
416	Fam117b	0.23434750501494336	0.17089433431650683	-0.06345317069843653			False	
417	Ica1l	0.3375787029474101	0.27696691421916136	-0.06061178872824874			False	
418	Wdr12	0.13202309905025786	0.12508183524931074	-0.006941263800947117			False	
419	Carf	-0.07169677360633962	-0.06699637480389597	0.004700398802443648			False	
420	Nbeal1	-0.09142831118505418	-0.029935920126499625	0.06149239105855456			False	
421	Cyp20a1	-0.1736415013033839	-0.07501981660701175	0.09862168469637216			False	
422	Abi2	0.14709893672645075	0.15330483124806188	0.006205894521611133			False	
423	Raph1	0.25039497819651074	0.2514875178483714	0.00109253965186068			False	
424	Cd28						False	
425	Gm11579						False	
426	2310016D23Rik						False	
427	Ctla4						False	
428	Icos		0.023507627901032068				False	
429	Gm28083						False	
430	Gm11587						False	
431	9530026F06Rik	0.062128498125434396					False	
432	Gm11588						False	
433	Gm28449						False	
434	4930587A21Rik						False	
435	Pard3b	-0.36350962441208134	-0.26230075940440534	0.10120886500767601			False	
436	Pard3bos1						False	
437	Pard3bos2						False	
438	Pard3bos3						False	
439	Gm29084						False	
440	Nrp2	-0.15308609032674206	-0.3107065505666042	-0.15762046023986212			False	
441	Gm29083		0.02925450502568088				False	
442	Gm4208	0.018014233437897088					False	
443	Ino80d	-0.06810242831384178	-0.028117377177125792	0.039985051136715986			False	
