# logfile for VINE (version 0.3.4), Mon Apr 20 23:53:01 2026
# Host: bam07 [Linux, release 4.18.0-553.51.1.el8_10.x86_64, x86_64]
# Command line: vine --format CRISPR --migration 3724_NT_All_statelabels.csv --primary T1 \
#   --mean 3724_NT_All_vine_mean.nwk --nsamples 100 -j 16 \
#   3724_NT_All_character_matrix_representative.tsv --logfile \
#   3724_NT_All_vine.log --labeled-trees 3724_NT_All_vine_states.nex 
#
state	ll	elbo	kld	half_trHS	elbo_bias	penalty	mig_ll	sigma.0	nu	lead_t	mig[0]	mig[1]	mig[2]	mig[3]	mig[4]	mig[5]	mig[6]	mig[7]	mig[8]	mig[9]	
77	-15631.570178	-16255.504101	615.676859	2672.771627	0.000000	8.257064	0.000000	-1.235678	0.148985	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
78	-15486.052092	-16108.798906	615.112309	2672.771627	0.000000	7.634505	0.000000	-1.186227	0.148517	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
79	-15619.263374	-16240.863309	614.564264	2672.771627	0.000000	7.035670	0.000000	-1.136725	0.149789	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
80	-15684.008331	-16304.501766	614.032716	2672.771627	0.000000	6.460719	0.000000	-1.087179	0.151903	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
81	-15961.459902	-16580.871054	613.501366	2498.351317	122.094217	5.909786	0.000000	-1.037636	0.153294	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
82	-15822.360963	-16440.726485	612.982083	2498.351317	122.094217	5.383439	0.000000	-0.988094	0.153122	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
83	-15889.573431	-16506.922208	612.467132	2498.351317	122.094217	4.881645	0.000000	-0.938551	0.151437	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
84	-15831.161903	-16447.525494	611.959204	2498.351317	122.094217	4.404387	0.000000	-0.889005	0.147906	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
85	-15870.895149	-16486.372898	611.526097	2498.351317	122.094217	3.951653	0.000000	-0.839457	0.143925	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
86	-16082.164264	-16696.803880	611.116178	2498.351317	122.094217	3.523439	0.000000	-0.789904	0.140917	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
87	-15928.413253	-16542.250260	610.717263	2498.351317	122.094217	3.119743	0.000000	-0.740347	0.138414	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
88	-15838.431425	-16451.510682	610.338686	2498.351317	122.094217	2.740571	0.000000	-0.690786	0.137364	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
89	-15873.063366	-16485.413352	609.964058	2498.351317	122.094217	2.385928	0.000000	-0.641221	0.138101	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
90	-15981.097552	-16592.760816	609.607441	2498.351317	122.094217	2.055822	0.000000	-0.591652	0.141061	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
91	-16024.803766	-16635.835876	609.281848	2498.351317	122.094217	1.750262	0.000000	-0.542080	0.143687	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
92	-16045.844743	-16656.301974	608.987976	2498.351317	122.094217	1.469256	0.000000	-0.492506	0.144145	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
93	-15986.277284	-16596.191621	608.701526	2498.351317	122.094217	1.212812	0.000000	-0.442931	0.143784	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
94	-15836.404028	-16445.829462	608.444495	2498.351317	122.094217	0.980939	0.000000	-0.393355	0.142628	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
95	-15853.028204	-16462.017325	608.215479	2498.351317	122.094217	0.773641	0.000000	-0.343781	0.140880	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
96	-15944.865642	-16553.494511	608.037944	2498.351317	122.094217	0.590925	0.000000	-0.294208	0.141953	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
97	-16094.560733	-16702.874223	607.880698	2498.351317	122.094217	0.432793	0.000000	-0.244640	0.144583	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
98	-15862.593770	-16470.643565	607.750551	2498.351317	122.094217	0.299244	0.000000	-0.195078	0.145681	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
99	-15660.617173	-16268.442314	607.634864	2498.351317	122.094217	0.190276	0.000000	-0.145523	0.144309	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
100	-15721.477470	-16329.134897	607.551542	2498.351317	122.094217	0.105884	0.000000	-0.095977	0.141170	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
# Average ELBO for last 50: -16368.971930
101	-15730.546194	-16338.088177	607.495926	2498.351317	122.094217	0.046058	0.000000	-0.046444	0.136301	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
102	-15793.084410	-16400.567016	607.471821	2498.351317	122.094217	0.010785	0.000000	0.003075	0.130299	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
103	-15773.562557	-16381.044271	607.481666	2498.351317	122.094217	0.000047	0.000000	0.052577	0.126734	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
104	-15973.357779	-16580.906371	607.534770	2498.351317	122.094217	0.013822	0.000000	0.102058	0.127776	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
105	-16048.434176	-16656.111612	607.625356	2498.351317	122.094217	0.052080	0.000000	0.151516	0.130940	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
106	-15908.130184	-16516.007008	607.762039	2498.351317	122.094217	0.114785	0.000000	0.200945	0.135532	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
107	-15885.582502	-16493.732119	607.947722	2498.351317	122.094217	0.201895	0.000000	0.250343	0.139906	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
108	-15879.628006	-16488.120313	608.178950	2498.351317	122.094217	0.313357	0.000000	0.299702	0.143195	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
109	-15774.293057	-16383.213433	608.471269	2498.351317	122.094217	0.449108	0.000000	0.349019	0.144145	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
110	-15669.209583	-16278.611854	608.793199	2498.351317	122.094217	0.609071	0.000000	0.398286	0.142400	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
111	-16626.729703	-17236.699937	609.177076	1912.689419	495.429280	0.793158	0.000000	0.447273	0.142171	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
112	-16799.429672	-17410.049176	609.619237	1912.689419	495.429280	1.000266	0.000000	0.495986	0.140485	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
113	-16749.247770	-17360.594327	610.116549	1912.689419	495.429280	1.230009	0.000000	0.544424	0.138384	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
114	-16770.601938	-17382.765315	610.681390	1912.689419	495.429280	1.481988	0.000000	0.592584	0.135801	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
115	-16661.388321	-17274.458445	611.314342	1912.689419	495.429280	1.755781	0.000000	0.640458	0.132494	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
116	-16641.548890	-17255.614829	612.015008	1912.689419	495.429280	2.050931	0.000000	0.688030	0.128529	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
