	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
4990	12	7	8	7	11	7	8	12	5	6	6	18	8	7	7	8	13	14	10	14	8	8	11	18	15	11	12	14	16	9	8	8	12	5	15	9	7	6	9	14	7	5	11	11	4	9	6	8	9	11	11	9	11	6	11	3	7	8	7	11	7	8	15	13	9	11	9	12	10	19	10	7	8	10	13	10	13	11	10	15	6	12	8	7	9	10	9	7	8	1	16	9	4	7	7	9	10	9	8	8
4991	8	7	10	10	9	7	7	11	12	7	12	15	9	8	11	13	8	7	12	12	11	11	14	7	8	9	19	8	11	8	9	12	7	7	10	13	10	11	13	7	5	10	13	11	9	12	11	18	12	12	8	7	10	7	9	6	10	6	10	9	5	10	9	7	8	16	14	13	8	8	4	8	13	10	10	6	12	18	5	9	10	12	8	10	14	6	10	11	12	13	2	11	12	7	9	14	13	11	8	4
4996	14	9	10	12	8	9	14	14	10	16	4	8	14	13	13	7	10	8	13	13	8	12	7	11	11	8	16	10	3	9	5	10	11	13	8	9	11	13	11	14	18	10	10	6	13	6	9	14	9	6	15	7	11	7	6	5	8	8	12	10	13	15	14	15	10	6	12	13	10	12	6	7	8	6	10	9	12	12	16	7	13	9	11	9	7	15	10	12	8	12	12	9	4	7	8	6	12	16	13	11
4997	5	5	5	16	8	10	15	13	8	11	6	11	13	8	11	17	10	9	8	6	13	8	12	10	7	10	9	7	16	9	2	8	8	10	8	9	19	8	14	13	10	8	17	18	9	7	9	6	9	13	8	10	12	10	8	11	8	9	10	8	9	9	7	11	8	12	11	10	11	6	12	12	6	12	11	12	9	9	9	13	13	10	8	6	12	15	7	10	6	12	7	9	10	8	13	10	13	11	9	9
5002	6	4	7	10	2	13	5	5	8	14	9	6	8	12	10	15	12	12	9	8	8	12	19	6	7	13	13	9	12	12	12	11	7	14	15	18	7	13	13	17	11	12	13	14	13	6	12	10	13	9	6	20	13	7	12	13	6	5	11	17	14	7	6	11	12	7	11	12	7	12	7	13	5	11	8	10	11	7	15	12	9	5	10	10	7	9	9	10	8	9	5	10	10	13	9	4	12	12	13	7
5004	6	11	15	7	6	13	9	11	5	8	9	16	9	5	13	16	5	20	15	14	12	11	5	6	12	8	6	8	10	13	11	11	13	8	10	9	19	8	6	14	13	9	7	5	11	8	15	8	9	13	10	10	4	12	10	8	8	7	8	10	9	9	13	13	13	12	9	10	6	10	14	8	15	10	11	10	7	6	11	10	7	10	15	8	8	21	11	5	10	11	6	9	15	11	6	8	11	10	7	16
5008	10	11	8	11	11	3	10	14	15	10	8	13	10	15	9	5	7	10	7	13	10	10	7	7	12	14	5	17	23	10	11	8	4	10	8	14	8	13	10	13	9	10	10	13	7	9	14	9	13	10	10	8	10	9	5	4	12	8	12	12	11	11	10	10	13	10	18	7	7	2	7	6	11	14	8	10	7	14	9	8	8	14	6	11	10	7	8	13	21	13	10	11	9	10	9	12	9	7	5	6
5009	8	13	15	10	12	12	9	11	6	7	17	11	10	12	11	5	14	9	7	10	15	4	8	12	9	7	11	11	13	9	17	7	6	8	10	8	13	13	11	12	8	9	11	9	12	13	7	7	10	10	10	8	9	13	14	11	10	9	10	8	4	15	5	8	6	9	13	7	8	13	14	11	9	12	8	11	6	12	11	9	11	8	12	17	5	12	10	10	11	16	8	6	4	10	8	10	11	13	6	12
5012	11	11	7	9	9	8	8	21	6	8	11	9	12	8	7	11	11	10	13	9	9	9	13	8	6	10	9	6	10	8	8	5	5	12	12	14	13	21	11	12	7	12	12	14	9	12	8	11	10	9	13	5	8	13	10	7	4	11	10	7	11	5	7	7	9	8	13	13	14	8	11	10	11	15	5	15	9	10	10	11	9	9	6	13	14	11	10	8	6	10	7	10	6	13	7	12	5	20	11	9
5017	12	5	12	8	8	14	15	11	10	8	16	9	14	6	8	9	8	8	14	9	9	17	12	10	17	10	8	14	8	7	14	12	11	5	13	10	9	7	10	16	11	7	14	7	10	13	12	6	3	5	10	14	6	9	8	10	11	12	11	11	9	11	13	14	9	17	10	3	11	5	7	13	3	7	8	13	10	12	9	4	10	14	9	6	14	13	10	10	9	8	11	12	8	16	12	5	9	12	9	11
5024	10	11	8	14	20	9	10	14	11	9	13	17	11	10	9	9	11	9	12	10	12	12	8	9	8	9	9	14	12	13	9	8	13	7	6	9	11	17	7	14	10	16	7	12	13	9	12	7	6	4	10	7	11	11	11	11	7	10	14	9	6	8	11	15	7	10	10	8	7	12	8	10	7	7	16	9	10	10	7	11	11	10	9	9	13	12	8	10	18	8	5	9	14	14	15	9	10	12	8	9
5026	8	8	13	4	11	9	6	10	12	5	13	9	6	5	9	14	4	9	9	8	10	7	9	9	13	12	9	7	14	12	13	16	11	15	6	10	8	11	9	9	9	7	7	9	14	8	12	16	12	7	11	9	8	9	16	7	10	5	15	6	9	12	9	9	13	6	15	7	3	6	9	7	8	13	9	7	8	16	16	13	3	12	12	8	14	11	13	8	12	7	12	7	7	7	8	7	8	14	10	9
5028	6	7	7	10	17	9	8	10	10	6	13	5	11	10	6	17	6	17	10	13	6	8	11	7	13	9	15	10	7	5	9	8	9	9	16	9	14	11	3	7	7	10	12	7	8	8	6	12	9	10	7	6	8	18	13	5	9	12	10	13	13	16	6	13	3	12	5	9	9	11	6	7	19	9	10	10	8	13	9	10	11	13	9	9	14	5	4	9	5	15	6	7	10	15	13	14	13	13	13	9
5040	8	8	7	11	8	15	8	12	8	10	10	8	6	4	13	7	9	8	11	13	10	13	8	12	10	12	4	7	9	6	12	8	9	8	12	10	8	9	11	11	10	12	11	9	5	17	12	8	6	10	10	9	12	10	10	14	11	18	7	12	16	6	8	9	10	12	10	15	11	4	16	10	6	12	9	8	9	14	7	6	7	7	10	12	12	12	9	11	19	15	9	11	10	5	9	12	10	9	9	8
5041	12	10	5	11	14	9	8	11	12	10	6	16	11	6	6	11	7	6	11	8	8	10	12	9	11	14	10	14	11	7	12	5	11	14	11	8	8	7	11	10	10	9	9	8	17	7	14	8	19	7	2	10	7	9	12	7	4	8	9	8	13	14	11	8	5	13	6	10	14	10	11	9	12	13	5	19	21	9	11	13	8	12	9	10	7	12	11	13	16	8	13	4	10	10	15	14	11	11	7	10
5043	9	13	6	10	4	10	8	13	14	3	8	11	15	8	16	4	19	11	7	10	13	11	10	9	7	7	9	10	8	5	7	10	7	14	10	12	3	8	11	9	16	7	11	10	7	5	13	8	12	12	11	15	13	9	7	14	14	11	14	8	7	6	8	11	8	10	5	11	7	10	7	13	8	6	8	17	6	13	11	11	10	7	5	12	13	8	13	11	15	7	8	9	12	6	9	17	5	16	7	12
5051	12	11	14	9	8	12	13	3	10	6	13	7	12	13	6	8	10	10	12	11	9	10	16	13	12	10	10	4	8	5	9	14	7	5	6	14	12	8	11	9	7	8	8	8	6	7	6	10	11	7	10	11	7	14	6	16	7	7	16	12	9	11	7	6	4	13	7	8	13	15	7	10	8	9	13	14	9	14	16	11	10	8	11	8	7	15	6	10	9	11	10	10	19	12	13	17	12	9	10	7
5053	9	9	8	8	12	7	10	8	14	12	13	11	12	9	9	10	8	15	11	8	8	14	14	4	8	15	9	16	6	13	5	16	14	13	12	7	8	9	11	8	4	15	11	8	6	9	11	9	12	8	13	14	5	15	14	8	14	8	9	10	4	11	8	9	15	14	12	6	5	13	10	8	16	8	11	12	12	13	12	3	12	10	12	12	11	7	11	13	15	9	11	11	5	18	9	7	6	9	9	7
5055	8	9	11	12	10	11	11	11	11	15	13	16	9	13	9	11	9	14	11	5	15	10	13	6	10	13	10	15	6	6	9	12	10	18	14	8	13	9	9	7	12	8	12	9	10	10	13	11	10	13	14	10	13	20	9	6	8	7	10	14	17	13	10	10	9	10	5	11	12	9	12	10	10	15	13	14	4	8	7	11	13	11	14	10	7	15	10	7	15	9	10	13	10	7	11	7	8	16	10	11
5058	12	9	6	16	7	9	15	9	10	17	10	14	11	10	2	14	3	7	12	11	12	18	13	10	7	6	15	7	8	9	11	10	9	6	9	4	10	10	7	10	7	15	8	8	8	6	6	13	12	9	8	13	9	9	11	14	9	11	7	14	11	10	13	12	11	14	9	5	15	5	14	13	11	12	9	13	13	11	11	5	9	10	6	9	12	9	9	9	8	10	11	15	5	11	9	5	12	14	12	5
5063	8	12	9	7	9	12	10	7	10	11	10	8	12	7	9	10	12	8	10	9	6	19	10	6	16	10	11	9	13	16	11	11	7	5	11	11	9	14	14	7	12	12	11	12	12	5	14	6	7	8	11	10	11	13	12	11	7	9	9	8	13	10	11	13	9	8	13	2	11	15	12	8	7	3	7	5	8	7	5	8	6	12	9	11	7	11	11	6	7	13	9	13	13	12	5	4	12	8	8	13
5066	11	5	13	8	3	18	11	10	5	10	14	6	12	8	8	4	10	13	13	15	9	15	12	9	10	15	11	11	13	11	8	4	8	9	6	10	11	8	7	10	13	16	12	14	7	11	5	8	18	11	6	14	4	7	6	10	6	13	12	2	10	11	14	4	14	13	5	6	12	13	6	11	8	14	9	8	10	7	12	17	9	15	10	7	12	15	12	11	7	7	12	9	11	11	10	13	14	7	10	4
5072	11	14	9	8	8	6	18	11	8	13	7	12	12	17	8	8	16	13	8	10	13	6	14	7	6	7	11	6	9	11	8	9	9	9	11	11	15	12	13	13	11	10	16	10	10	12	12	12	4	8	11	6	13	9	9	9	8	14	18	15	9	15	19	5	4	10	11	20	12	12	13	7	8	10	11	16	17	12	10	8	7	5	5	14	13	13	8	8	8	12	15	10	8	15	10	5	8	10	17	4
5078	10	6	14	6	7	7	10	9	8	6	11	11	11	6	12	6	14	14	7	9	12	8	9	7	8	18	12	10	14	9	9	13	15	8	10	5	9	10	10	9	9	14	9	13	16	12	8	12	7	11	7	7	11	9	7	14	4	11	10	12	11	7	10	6	10	4	8	8	7	5	11	12	6	5	12	17	11	8	5	12	14	8	14	17	6	9	9	17	6	11	12	14	11	11	4	12	10	7	11	6
5080	13	10	13	13	8	7	15	12	13	11	10	10	10	11	9	15	8	5	16	7	17	13	10	11	8	11	9	8	14	10	8	7	8	12	13	8	11	5	11	9	10	10	10	9	11	8	11	17	15	5	13	8	10	6	7	9	19	6	11	11	11	10	8	9	9	17	14	10	13	3	7	11	12	13	8	10	10	9	6	12	11	11	8	13	8	6	14	8	14	19	7	12	9	10	11	6	12	9	7	8
5083	6	11	12	12	10	13	14	9	16	9	10	12	11	12	10	9	14	15	14	13	6	8	7	12	9	12	8	10	5	8	11	16	13	13	11	11	13	7	8	8	2	12	14	6	6	6	13	6	10	12	9	8	8	13	8	8	10	7	8	10	7	7	8	6	5	12	9	16	4	14	9	13	11	11	7	6	12	4	4	13	16	10	10	12	13	8	9	6	8	15	8	6	9	7	9	9	9	13	10	14
