ID	gene	h0_theta	h1_theta0	h1_theta1	h0	h1	LR	p	q	signif
13	14	0.47195923	0.47284865379333496	0.4662522077560425	-4020.856	-4020.8457	-0.010253906	1.0	1.0	False
19	20	1.1046729	1.0974929332733154	1.257125973701477	-4348.4946	-4348.1284	-0.36621094	1.0	1.0	False
22	23	5.255565	5.272359371185303	4.829961776733398	-4939.894	-4937.7363	-2.1577148	1.0	1.0	False
40	41	4.3379884	4.371646404266357	3.560271739959717	-4541.5757	-4541.279	-0.296875	1.0	1.0	False
43	44	4.4199657	4.488046646118164	3.024060010910034	-4712.3843	-4710.967	-1.4174805	1.0	1.0	False
52	53	3.0661361	3.0379624366760254	3.5994184017181396	-4793.0776	-4791.167	-1.9106445	1.0	1.0	False
53	54	2.277264	2.2618298530578613	2.667245388031006	-4455.715	-4449.7705	-5.944336	1.0	1.0	False
70	71	4.9386535	4.954007148742676	4.695606231689453	-6112.373	-6107.5645	-4.8085938	1.0	1.0	False
84	85	1.0184624	0.9451631307601929	5.799264430999756	-3715.8682	-3705.1008	-10.767334	1.0	1.0	False
93	94	7.1823564	7.172243118286133	7.3504133224487305	-6212.713	-6210.3086	-2.4042969	1.0	1.0	False
