ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_T1	h1_theta_Met	h0	h1	lrt	p	q	signif
3267	Prkcb	1.2234452	6.3720675	3.2615254	-2.1564445	0.927883	6.3551774	2.8382926	-2.1512300968170166	-2.0463271141052246	485.5464	485.47028	0.15222168	0.6964212187565895	0.7539752003066806	False
3884	Selenbp1	2.413795	6.1806273	4.344156	-1.332958	1.7115308	6.266188	3.9522555	-1.2936912775039673	-1.2208049297332764	735.6434	735.5689	0.14892578	0.6995640409829911	0.7571815921439834	False
3009	Slc9a1	27.492535	6.5698223	0.6782132	-2.4758673	198.0022	6.56521	0.87923753	-2.4733450412750244	-2.496218681335449	340.05432	339.98132	0.1459961	0.7023913811008071	0.7600449460435715	False
2767	Cnot6l	25.287971	6.209162	2.2827675	-0.8286684	109.52733	6.156532	2.4098237	-0.8744165897369385	-0.8286266326904297	895.7901	895.71814	0.1439209	0.7044138084914925	0.7620360615288498	False
3121	Numa1	4.126134	6.434942	1.4655534	-1.8363413	8.836726	6.3463035	1.9236592	-1.8754112720489502	-1.8971501588821411	528.0532	527.9824	0.14160156	0.7066940052400602	0.7643049295802825	False
4121	2300009A05Rik	119.596886	6.4582624	1.672104	-0.30399302	71.26084	6.54729	1.6524091	-0.20348508656024933	-0.3549162447452545	1060.2942	1060.2246	0.13916016	0.7091173620827116	0.7667274142674391	False
3949	Ncoa1	2.8606267	6.244274	2.5611327	-1.6415473	3.1078353	6.2308702	2.589313	-1.5905706882476807	-1.6790335178375244	610.6705	610.6011	0.13879395	0.7094829496783153	0.7669242748850698	False
3326	App	13.552254	5.8036222	3.1982715	0.28960934	6.413498	5.926901	2.801795	0.28969061374664307	0.3564504384994507	1129.763	1129.6952	0.13549805	0.7127982284254544	0.7703087138841411	False
3737	Zfp207	33.583035	6.3222904	2.0076053	0.7816515	62.570137	6.2907305	2.0517883	0.7422613501548767	0.7957863807678223	1151.4012	1151.334	0.13452148	0.713789314325814	0.7711803372718657	False
3816	Myl12b	62.53566	5.259096	2.3238401	0.3986354	197.52615	5.47054	2.406835	0.4807378351688385	0.34267085790634155	1163.2351	1163.1699	0.1303711	0.7180475861282146	0.7755804762031039	False
2568	Sat1	1.1854318	6.035758	5.2665677	3.1010532	1.1254823	6.1688457	4.6235037	3.2081286907196045	2.9935004711151123	-941.7397	-941.80255	0.12573242	0.7228985081125974	0.7804166534235454	False
2614	Slc35a4	57.3799	6.4147224	1.8592833	0.16531277	174.26585	6.413279	1.9291892	0.15996074676513672	0.16136379539966583	1156.1317	1156.0688	0.12573242	0.7228985081125974	0.7804166534235454	False
3188	Zfp821	1.8546877	6.636034	1.8289573	-2.0332034	1.8312416	6.6202517	1.8619982	-2.0179190635681152	-2.0477843284606934	473.37302	473.31238	0.121276855	0.7276537418632172	0.7853473624086736	False
