source	term_id	term_name	p_value	adjusted_p_value	term_size	query_size	intersection_size	precision	recall	intersection_genes
GO:BP	GO:0071826	protein-RNA complex organization	0.2805995114855681	0.2805995114855681	62	316	17	0.05379746835443038	0.27419354838709675	Snrpe,Eif3i,Snrpg,Denr,Hsp90ab1,Dkc1,Snrpf,Clns1a,Psip1,Ddx39b,Eif3h,Eif3c,Ptges3,Snrpd1,Eif3e,Strap,Eif3k
GO:BP	GO:0006397	mRNA processing	0.3098965824646919	0.3098965824646919	172	316	32	0.10126582278481013	0.18604651162790697	Npm1,Nudt21,Ybx1,Snrpe,Rbm17,Hnrnpa2b1,Snrpa1,Hnrnpf,Fip1l1,Snrpg,C1qbp,Hnrnpc,Snrpf,Clns1a,Lsm6,Psip1,Ddx47,Lsm4,Ddx39b,Ptbp1,Lsm3,Hnrnpu,Lsm5,Dazap1,Lsm8,Snrpd1,Snrnp27,Hnrnpa1,Strap,Pabpc1,Eif1,Rbm8a
GO:BP	GO:0045727	positive regulation of translation	0.348553741520595	0.348553741520595	39	316	13	0.04113924050632911	0.3333333333333333	Pkm,Npm1,Ybx1,Prmt1,Elavl1,Eif5a,Hnrnpd,Rbm3,Hnrnpu,Eif3e,Eef2,Eif6,Pabpc1
GO:BP	GO:0032204	regulation of telomere maintenance	0.40442941652618347	0.40442941652618347	34	316	12	0.0379746835443038	0.35294117647058826	Ruvbl2,Cct8,Cct5,Cct2,Tcp1,Uchl5,Dkc1,Hnrnpd,Ercc1,Hnrnpu,Cct7,Cct3
GO:BP	GO:0002181	cytoplasmic translation	0.47868076689988676	0.47868076689988676	40	316	13	0.04113924050632911	0.325	Pkm,Ybx1,Eif4ebp1,Eif3i,Denr,Hnrnpd,Eif3h,Hnrnpu,Eif3c,Eif2s2,Eif3e,Pabpc1,Eif3k
GO:BP	GO:0009142	nucleoside triphosphate biosynthetic process	0.47868076689988676	0.47868076689988676	40	316	13	0.04113924050632911	0.325	Ndufa3,Impdh2,Dtymk,Nme2,Ndufc1,Ndufa7,Ndufa13,Ndufb10,Ndufab1,Uck2,Ndufs6,Ndufs7,Nme1
GO:BP	GO:0051052	regulation of DNA metabolic process	0.5567516368758625	0.5567516368758625	114	316	24	0.0759493670886076	0.21052631578947367	Ruvbl2,Hmga2,Prmt1,Cct8,Ssbp1,Cct5,Cct2,Tcp1,Uchl5,Smarca5,C1qbp,Cdk1,Dkc1,Hnrnpd,Taf10,Dynll1,Ercc1,Dnajc2,Hnrnpu,Cct7,Nucks1,Hmgb1,Dek,Cct3
GO:BP	GO:0009259	ribonucleotide metabolic process	0.5567516368758625	0.5567516368758625	114	316	24	0.0759493670886076	0.21052631578947367	Gapdh,Pkm,Ran,Ndufa3,Mtch2,Impdh2,Paics,Galk1,Ola1,Nme2,Tpi1,Ndufc1,Ndufa7,Aprt,Ndufa13,Ndufb10,Ndufab1,Uck2,Ndufs6,Ndufs7,Hint1,Nme1,Eif6,Aldoa
GO:BP	GO:0006396	RNA processing	0.5856841628138892	0.5856841628138892	280	316	44	0.13924050632911392	0.15714285714285714	Npm1,Cdkn2a,Nudt21,Ybx1,Wdr12,Snrpe,Prmt1,Rbm17,Hnrnpa2b1,Snrpa1,Lyar,Pa2g4,Hnrnpf,Fip1l1,Snrpg,C1qbp,Emg1,Hnrnpc,Dkc1,Snrpf,Clns1a,Sbds,Taf10,Lsm6,Psip1,Ddx47,Lsm4,Ddx39b,Rbm3,Exosc8,Ptbp1,Lsm3,Hnrnpu,Lsm5,Dazap1,Lsm8,Snrpd1,Snrnp27,Hnrnpa1,Nop10,Strap,Pabpc1,Eif1,Rbm8a
GO:BP	GO:0032206	positive regulation of telomere maintenance	0.6398784328328068	0.6398784328328068	30	316	11	0.03481012658227848	0.36666666666666664	Ruvbl2,Cct8,Cct5,Cct2,Tcp1,Uchl5,Dkc1,Hnrnpd,Ercc1,Cct7,Cct3
GO:BP	GO:0019693	ribose phosphate metabolic process	0.6516153947211671	0.6516153947211671	115	316	24	0.0759493670886076	0.20869565217391303	Gapdh,Pkm,Ran,Ndufa3,Mtch2,Impdh2,Paics,Galk1,Ola1,Nme2,Tpi1,Ndufc1,Ndufa7,Aprt,Ndufa13,Ndufb10,Ndufab1,Uck2,Ndufs6,Ndufs7,Hint1,Nme1,Eif6,Aldoa
GO:BP	GO:0009205	purine ribonucleoside triphosphate metabolic process	0.6531277178575837	0.6531277178575837	86	316	20	0.06329113924050633	0.23255813953488372	Gapdh,Pkm,Ran,Ndufa3,Mtch2,Impdh2,Galk1,Ola1,Nme2,Tpi1,Ndufc1,Ndufa7,Ndufa13,Ndufb10,Ndufab1,Ndufs6,Ndufs7,Nme1,Eif6,Aldoa
GO:BP	GO:0016071	mRNA metabolic process	0.6654577611307188	0.6654577611307188	246	316	40	0.12658227848101267	0.16260162601626016	Npm1,Nudt21,Ybx1,Snrpe,Rbm17,Hnrnpa2b1,Vim,Snrpa1,Elavl1,Hnrnpf,Fip1l1,Snrpg,C1qbp,Hnrnpc,Snrpf,Clns1a,Hnrnpd,Taf10,Lsm6,Anxa2,Psip1,Ddx47,Lsm4,Gspt1,Ddx39b,Ptbp1,Lsm3,Hnrnpu,Lsm5,Dazap1,Lsm8,Snrpd1,Snrnp27,Eif3e,Hnrnpa1,Zfp36,Strap,Pabpc1,Eif1,Rbm8a
GO:BP	GO:0009150	purine ribonucleotide metabolic process	0.6989201753826584	0.6989201753826584	108	316	23	0.07278481012658228	0.21296296296296297	Gapdh,Pkm,Ran,Ndufa3,Mtch2,Impdh2,Paics,Galk1,Ola1,Nme2,Tpi1,Ndufc1,Ndufa7,Aprt,Ndufa13,Ndufb10,Ndufab1,Ndufs6,Ndufs7,Hint1,Nme1,Eif6,Aldoa
GO:BP	GO:0006413	translational initiation	0.8856528108740593	0.8856528108740593	48	316	14	0.04430379746835443	0.2916666666666667	Npm1,Eif4ebp1,Eif3i,Denr,Eif1ax,Eif3h,Eif3c,Eif2s2,Eif3e,Eif4e,Eif4h,Eif6,Eif1,Eif3k
GO:BP	GO:0006417	regulation of translation	0.8865642241865265	0.8865642241865265	117	316	24	0.0759493670886076	0.20512820512820512	Gapdh,Pkm,Npm1,Dap,Serbp1,Ybx1,Eif4ebp1,Ncl,Prmt1,Elavl1,Pa2g4,Eif5a,Hnrnpd,Gspt1,Rbm3,Hnrnpu,Eif3e,Eif4e,Zfp36,Eef2,Eif6,Pabpc1,Rbm8a,Eif3k
GO:BP	GO:0006260	DNA replication	0.9256959436814672	0.9256959436814672	74	316	18	0.056962025316455694	0.24324324324324326	Ruvbl2,Nfix,Ccne1,Ssrp1,Rfc1,Ssbp1,Mcm6,Rpa3,Uchl5,Smarca5,Cdk1,Pold2,Nasp,Asf1a,Rbms1,Dynll1,Dnajc2,Nucks1
GO:BP	GO:0009144	purine nucleoside triphosphate metabolic process	0.9415943100727088	0.9415943100727088	88	316	20	0.06329113924050633	0.22727272727272727	Gapdh,Pkm,Ran,Ndufa3,Mtch2,Impdh2,Galk1,Ola1,Nme2,Tpi1,Ndufc1,Ndufa7,Ndufa13,Ndufb10,Ndufab1,Ndufs6,Ndufs7,Nme1,Eif6,Aldoa
GO:BP	GO:2000278	regulation of DNA biosynthetic process	0.9847155519858228	0.9847155519858228	26	316	10	0.03164556962025317	0.38461538461538464	Cct8,Cct5,Cct2,Tcp1,Dkc1,Hnrnpd,Dnajc2,Hnrnpu,Cct7,Cct3
